Model,AUC,Precision,Recall,F1-Score,Specificity,True Positives,False Positives,True Negatives,False Negatives
TabNet,0.7024499007289235,0.12992410552945427,0.7240684793554885,0.22031561207292782,0.5741801973893664,3595,24075,32463,1370
Bayesian Network,0.4982912828157141,0.0,0.0,0.0,1.0,0,0,56538,4965
Hybrid Ensemble,0.702446999170001,0.12881307948191661,0.7331319234642497,0.21912530475875147,0.564576037355407,3640,24618,31920,1325
