Model,accuracy,precision,recall,f1,roc_auc,mse,rmse,aic,bic
ANN + BN Tuned,0.9953198127925117,0.995,0.9974937343358395,0.9962453066332916,0.9998446529547008,0.004359112121164799,0.06602357246593674,84372.36074683604,87638.35486018377
LSTM + BN Tuned,0.9890795631825273,0.9875621890547264,0.9949874686716792,0.9912609238451935,0.9996271670912819,0.008389093913137913,0.0915919969928482,84372.36074683604,87638.35486018377
RNN + BN Tuned,0.9953198127925117,0.995,0.9974937343358395,0.9962453066332916,0.9984154601379482,0.004581997636705637,0.0676904545464546,84372.36074683604,87638.35486018377
