Model,accuracy,precision,recall,f1,roc_auc,mse,rmse,aic,bic
ANN + BN Baseline,0.9968798751950078,0.9950124688279302,1.0,0.9975,0.9997307317881481,0.004292744677513838,0.06551904057229346,84372.36074683604,87638.35486018377
LSTM + BN Baseline,0.9906396255850234,0.9924812030075187,0.9924812030075187,0.9924812030075187,0.9997721576668944,0.006556485779583454,0.08097212964707952,84372.36074683604,87638.35486018377
RNN + BN Baseline,0.9890795631825273,0.99,0.9924812030075187,0.9912390488110138,0.999678949439715,0.008135657757520676,0.09019788111436253,84372.36074683604,87638.35486018377
ANN + BN Tuned,0.9953198127925117,0.995,0.9974937343358395,0.9962453066332916,0.9998446529547008,0.004359112121164799,0.06602357246593674,84372.36074683604,87638.35486018377
LSTM + BN Tuned,0.9890795631825273,0.9875621890547264,0.9949874686716792,0.9912609238451935,0.9996271670912819,0.008389093913137913,0.0915919969928482,84372.36074683604,87638.35486018377
RNN + BN Tuned,0.9953198127925117,0.995,0.9974937343358395,0.9962453066332916,0.9984154601379482,0.004581997636705637,0.0676904545464546,84372.36074683604,87638.35486018377
